id,event_name
44,,2010-09-24,2,0,0,,,"Outside at the Gate with Mr. Meanor",21:00:00,00:00:00,confirmed
43,,2010-06-05,2,0,0,,,"Private Party",20:30:00,00:00:00,confirmed
42,,2010-05-22,4,0,0,,"We love Maggie's!","We love Maggie's!",21:00:00,00:00:00,confirmed
41,,2010-09-10,11,8,8,,"BDS and Big Eye!","BDS and Big Eye!",21:00:00,00:00:00,not_confirmed
40,,2010-04-30,2,5,0,,"Come see us play with our friends Mr. Meanor!","Come see us play with our friends Mr. Meanor!",21:00:00,00:00:00,confirmed
39,,2010-03-12,11,0,0,,"At last! BDS in the South Bay!","At last! BDS in the South Bay!",21:00:00,00:00:00,confirmed
38,"The Vibe",2010-02-26,10,10,0,,"BDS comes to San Rafael!","BDS comes to San Rafael!",20:00:00,21:30:00,confirmed
37,,2010-03-20,4,0,0,,"Come hear the 5 new songs we have learned for you!","Come hear the 5 new songs we have learned for you!",21:00:00,00:00:00,confirmed
36,,2010-01-16,4,0,0,,"Start this decade with live music from BDS!","Start this decade with live music from BDS!",21:00:00,00:00:00,confirmed
35,,2009-11-14,1,0,0,,"Check out this great sports pub in the heart of downtown San Mateo! ",,21:00:00,02:00:00,confirmed
34,"BDS @ The St. Charles Fall Festival",2009-10-02,9,0,0,,"Come Join St. Charles Parish and BDS in celebrating community unity.","Come Join St. Charles Parish and BDS in celebrating community unity.",19:00:00,21:00:00,confirmed
33,,2009-11-28,4,0,0,,"Keep the holiday going by partying with BDS!","Keep the holiday going by partying with BDS!",21:00:00,00:00:00,confirmed
32,,2009-10-10,4,0,0,,"We are excited to be back at Maggie's!",,21:00:00,01:30:00,not_confirmed
31,,2009-08-22,4,0,0,,,,00:00:00,00:00:00,confirmed
30,,2009-07-25,8,0,0,,"Our first time playing this great local bar",,21:00:00,01:30:00,confirmed
29,Ressurrection,2009-06-27,7,0,15,www.showclix.com,"Big Fox show with Mr. Meanor and Superbad",,00:00:00,00:00:00,confirmed
28,,2006-08-04,5,0,0,,,,21:00:00,01:30:00,confirmed
27,,2006-09-23,1,0,0,,,,21:00:00,01:30:00,confirmed
26,,2006-10-21,6,0,0,,,,21:00:00,01:30:00,confirmed
25,,2006-11-02,3,0,0,,,,21:00:00,01:30:00,confirmed
24,,2006-11-18,1,0,0,,,,21:00:00,01:30:00,confirmed
23,,2007-01-27,1,0,0,,,,21:00:00,01:30:00,confirmed
22,,2007-03-10,1,0,0,,,,21:00:00,01:30:00,confirmed
21,,2007-04-28,1,0,0,,,,21:00:00,01:30:00,confirmed
20,,2007-05-11,5,0,0,,,,21:00:00,01:30:00,confirmed
19,,2007-08-04,1,0,0,,,,21:00:00,01:30:00,confirmed
18,,2007-08-17,2,0,0,,,,21:00:00,01:30:00,confirmed
17,,2007-09-22,5,0,0,,,,21:00:00,01:30:00,confirmed
16,,2007-10-20,1,0,0,,,,21:00:00,01:30:00,confirmed
15,,2007-12-08,1,0,0,,,,21:00:00,01:30:00,confirmed
14,,2008-01-11,2,0,0,,,,21:00:00,01:30:00,confirmed
13,,2008-01-26,4,0,0,,,,21:00:00,01:30:00,confirmed
12,,2008-03-15,1,0,0,,,,21:00:00,01:30:00,confirmed
11,,2008-04-19,4,0,0,,,,21:00:00,01:30:00,confirmed
10,,2008-05-16,5,0,0,,,,21:00:00,01:30:00,confirmed
9,,2008-06-07,4,0,0,,,,21:00:00,01:30:00,confirmed
8,,2008-06-14,5,0,0,,,,21:00:00,01:30:00,confirmed
7,,2008-08-23,4,0,0,,,,21:00:00,01:30:00,confirmed
2,,2009-03-28,4,0,0,,,,00:00:00,00:00:00,confirmed
1,,2009-09-19,5,0,12,,"We are playing with our friends Mr. Meanor. We also welcome Rough Puppy from the south bay. Please help us out and save a couple of bucks by purchasing a pre-sale ticket for $12 directly from us. Tickets at the door will be $14. See our contact page to reach us.",,20:00:00,01:30:00,confirmed
